,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
997,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Male,"$0 to $9,999",Pacific
998,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Female,"$25,000 to $49,999",East North Central
999,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,30 - 44,Female,"$50,000 to $74,999",New England
1000,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,"$50,000 to $74,999",Middle Atlantic
1001,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,60,Female,"$75,000 to $99,999",South Atlantic
1002,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Mountain
1003,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
1004,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",East North Central
1005,Not so worried,Not so worried,No,No,Yes,Somewhat familiar,Somewhat familiar,60,Female,"$200,000 and up",West North Central
1006,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",East North Central
1007,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,Prefer not to answer,New England
1008,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Male,Prefer not to answer,Pacific
1009,Not so worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Somewhat familiar,60,Female,"$50,000 to $74,999",Pacific
1010,Not so worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,Middle Atlantic
1011,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$50,000 to $74,999",East North Central
1012,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,,,,,,
